name,name_en,amenity,building,operator_t,capacity_p,addr_full,addr_city,source,osm_id,osm_type,longitude,latitude
School,Idi primary school,school,,,,,,,11147898005,nodes,11.1780469,10.2935941
GDSS Feshingo,,school,,,,,,,8484372938,nodes,11.4668405,10.9166509
"Usman Memorial Islamiyya School (Loddo), Gombe",,school,,,,,,,11157931205,nodes,11.1702928,10.2948278
Kwaine College of Education (KCOE) Yelanguruza Gombe,,school,,,,,,,11153624607,nodes,11.1958093,10.271742
,,school,,,,,,,11151643805,nodes,11.1785822,10.2956145
Evangel Group of Schools,,school,,,,,,,7264272786,nodes,11.151902,10.2876289
,,school,,,,,,nigeriase4all.gov.ng,9888515210,nodes,10.5441239,12.7211715
Jauro Secondary school,,school,,,,,,,7253718185,nodes,11.1724155,10.2990622
Department of Nursing Science,,school,,,,,,,11142161705,nodes,11.1756137,10.3027998
College of Medical sciences,,college,,,,,,,7252695488,nodes,11.1746645,10.3033759
NURSING DEPARTMENT,,college,,,,,,,11162424505,nodes,11.1754462,10.3030118
Faculty of Science Complex,,university,,,,,,,7252656185,nodes,11.1753386,10.304987
ZBA,,,school,,,,,Mr auwal abdallah,2293594537,nodes,11.171028,10.2607681
Gombe state university day care,,school,,,,,,,11148246605,nodes,11.173345,10.3078925
Biochemistry and microbiology department,,college,,,,,,,7252704287,nodes,11.1751292,10.3037496
GDJSS,,school,,,,,,,7255201785,nodes,11.1781189,10.3092414
NURAIN INTEGRATED SCHOOL,,school,,,,,,,7253719589,nodes,11.1607754,10.319148
Class 5A,,school,,,,,,,11153534706,nodes,11.1675466,10.306928
Faculty of law gombe state university,,school,,,,,,,11148234005,nodes,11.172938,10.3075324
Department of Sociology,,school,,,,,,,7252755385,nodes,11.1742133,10.3060703
faculty of law Gombe state university,,school,,,,,,,11148212505,nodes,11.1731971,10.3065066
Gandu primary school,,school,,,,,,,11151578305,nodes,11.1724834,10.3016186
LIMAN PRIMARY DCHOOL,,school,,,,,,,7252838888,nodes,11.1742716,10.3006731
Early Child Care Development Education Primary School,,school,,,,,,,7253158989,nodes,11.1728369,10.3002849
GDSS GANDU,,school,,,,,,,7253158987,nodes,11.1739583,10.2964944
,,school,,,,,,,4620257469,nodes,12.0378729,13.1471078
Faculty Rooms,,college,,,,,,,7252839888,nodes,11.173712,10.3060358
Economics Department,,college,,,,,,,7256326152,nodes,11.1742852,10.3064733
Politcal Science Department,,college,,,,,,,7256326151,nodes,11.1745112,10.3063766
,,school,,,,,,,3139918666,nodes,10.1938123,11.6822854
"Central Primary School,Baganje",,school,,,,,,,6026948986,nodes,11.1789713,9.846987
Maiduguri International Scholl,,school,,,,,Maisandari,,5917934404,nodes,13.1396285,11.8055693
Mafoni liberty Primary School,,school,,,,,Maisandari,,5917897696,nodes,13.1392719,11.804309
NASFTS Buni Yadi,,school,,,,,,,5906529685,nodes,12.0137503,11.2446014
JSS SHONGO IDRISA,,school,,,,,,,7345602886,nodes,11.0799588,10.2897853
TOMPKINS SOLID ACADEMY GOMBE,,school,,,,,,,7345603185,nodes,11.0802588,10.2881627
Sen. Joshua Lidani,,school,,,,,,,11175518137,nodes,11.1724016,10.3053789
Ibrahim Waziri Abubakar,,college,,,,,,,7252720193,nodes,11.1712799,10.3052966
Rufai Ahmad Alkali,,college,,,,,,,7252720194,nodes,11.1720578,10.305536
Haruna Kadir Rashid,,college,,,,,,,7252838889,nodes,11.1730928,10.3080899
JWD Somasundara,,college,,,,,,,7252880786,nodes,11.1709804,10.3053635
Musa Babayo,,college,,,,,,,7253015688,nodes,11.1714413,10.3060658
,,kindergarten,,,,,,,5690695488,nodes,13.3178026,10.5570303
Zhunnurain integrated school Gombe,,kindergarten,,,,,,,11179049837,nodes,11.180027,10.2701579
Central Primary School,,school,,,,,,,5606844914,nodes,13.7826512,11.2194965
International School,,kindergarten,,,,,,,5604720210,nodes,13.1457075,11.8163482
Islamic School,,kindergarten,,,,,,,5604720201,nodes,13.1607221,11.8222728
Mara Imul Iman - Islamic School,,school,,,,,,,5604720219,nodes,13.1421148,11.8115512
