NAME,amenity,building,operator_t,addr_full,addr_city,source,osm_id,osm_type,longitude,latitude
IDI PRIMARY SCHOOL,school,,,,,,11147898005,nodes,11.1780469,10.2935941
GDSS FESHINGO,school,,,,,,8484372938,nodes,11.4668405,10.9166509
"USMAN MEMORIAL ISLAMIYYA SCHOOL (LODDO), GOMBE",school,,,,,,11157931205,nodes,11.1702928,10.2948278
KWAINE COLLEGE OF EDUCATION (KCOE) YELANGURUZA GOMBE,school,,,,,,11153624607,nodes,11.1958093,10.271742
EVANGEL GROUP OF SCHOOLS,school,,,,,,7264272786,nodes,11.151902,10.2876289
JAURO SECONDARY SCHOOL,school,,,,,,7253718185,nodes,11.1724155,10.2990622
COLLEGE OF MEDICAL SCIENCES,college,,,,,,7252695488,nodes,11.1746645,10.3033759
ZBA,school,school,,,,Mr auwal abdallah,2293594537,nodes,11.171028,10.2607681
GOMBE STATE UNIVERSITY DAY CARE,school,,,,,,11148246605,nodes,11.173345,10.3078925
GDJSS,school,,,,,,7255201785,nodes,11.1781189,10.3092414
NURAIN INTEGRATED SCHOOL,school,,,,,,7253719589,nodes,11.1607754,10.319148
GANDU PRIMARY SCHOOL,school,,,,,,11151578305,nodes,11.1724834,10.3016186
LIMAN PRIMARY DCHOOL,school,,,,,,7252838888,nodes,11.1742716,10.3006731
EARLY CHILD CARE DEVELOPMENT EDUCATION PRIMARY SCHOOL,school,,,,,,7253158989,nodes,11.1728369,10.3002849
GDSS GANDU,school,,,,,,7253158987,nodes,11.1739583,10.2964944
"CENTRAL PRIMARY SCHOOL,BAGANJE",school,,,,,,6026948986,nodes,11.1789713,9.846987
MAIDUGURI INTERNATIONAL SCHOLL,school,,,,Maisandari,,5917934404,nodes,13.1396285,11.8055693
MAFONI LIBERTY PRIMARY SCHOOL,school,,,,Maisandari,,5917897696,nodes,13.1392719,11.804309
NASFTS BUNI YADI,school,,,,,,5906529685,nodes,12.0137503,11.2446014
JSS SHONGO IDRISA,school,,,,,,7345602886,nodes,11.0799588,10.2897853
TOMPKINS SOLID ACADEMY GOMBE,school,,,,,,7345603185,nodes,11.0802588,10.2881627
JWD SOMASUNDARA,college,,,,,,7252880786,nodes,11.1709804,10.3053635
ZHUNNURAIN INTEGRATED SCHOOL GOMBE,kindergarten,,,,,,11179049837,nodes,11.180027,10.2701579
CENTRAL PRIMARY SCHOOL,school,,,,,,5606844914,nodes,13.7826512,11.2194965
INTERNATIONAL SCHOOL,kindergarten,,,,,,5604720210,nodes,13.1457075,11.8163482
ISLAMIC SCHOOL,kindergarten,,,,,,5604720201,nodes,13.1607221,11.8222728
MARA IMUL IMAN - ISLAMIC SCHOOL,school,,,,,,5604720219,nodes,13.1421148,11.8115512
MARA IMUL IMAN - ISLAMIC SCHOOL,school,,,,,,5604725421,nodes,13.1521293,11.8061584
KULP BIBLE SCHOOL,school,,,,,GNS,501287824,nodes,13.170123,10.3273135
NAMU MODEL MODEL SECONDARY SCHOOL,school,,,,,,11753035914,nodes,13.1521735,11.8153323
MOHAMMED GONI COLLEGE OF LEGAL AND ISLAMIC STUDIES,school,,public,"Mafoni, Hausari, Maiduguri",,,7817546689,nodes,13.1489235,11.8469076
GOMBE CHILDREAN AND HIGH SCHOOL,school,,,,Gombe,,4663065035,nodes,11.1620797,10.2801411
NURUL HUDA INTERNATIONAL ACADEMY GOMBE,school,,,,gombe,,11176128570,nodes,11.1431572,10.2767756
GDSS BOLARI EAST GOMBE,school,,,,Gombe,,11175993518,nodes,11.1832218,10.277148
ASHAKA SCHOOL,school,,,,,,8465108371,nodes,11.4823097,10.9199373
GOMBE STATE UNIVERSITY COLLEGE,college,,,,,,11175720237,nodes,11.137734,10.3050737
UNIVERSAL BASIC DDUCATION JUNIOR,school,,,,,,5606844915,nodes,13.7835172,11.2184686
MAFONI LIBERTY JUNIOR SECONDARY SCHOOL,school,,,,Maisandari,,5917938410,nodes,13.1356782,11.8055678
FAMILY SUPPORT NURSERY AND PRIMARY SCHOOL.GOMBE,school,,,,,,11153546809,nodes,11.1671617,10.3075259
USMAN MEMORIAL ISLAMIYYA SCHOOL (LODDO),school,,,,,,11157838408,nodes,11.17027,10.29484
IDI PRIMARY SCHOOL GOMBE,school,,,,,,11151627905,nodes,11.178308,10.2936856
